plot	type	id	true_y	Observer	measure
scatter_4	scatter	11	0.0000243	Abiel	0.000024303797
scatter_4	scatter	12	0.00000627	Abiel	0.00000626582
scatter_5	scatter	1	0.00000209	Abiel	0.00000210084
scatter_5	scatter	2	0.00000808	Abiel	0.000008088235
scatter_5	scatter	3	0.00000369	Abiel	0.000003718487
scatter_5	scatter	4	0.00000355	Abiel	0.0000035714
scatter_5	scatter	5	0.00000423	Abiel	0.000004243697
scatter_5	scatter	6	0.00000483	Abiel	0.0000048319
scatter_5	scatter	7	0.00000394	Abiel	0.000003970588
scatter_5	scatter	8	0.00000473	Abiel	0.00000472689
scatter_5	scatter	9	0.0000014	Abiel	0.00000142857
scatter_5	scatter	10	0.0000025	Abiel	0.0000025210084
scatter_5	scatter	11	0.00000886	Abiel	0.00000884453
bar_1	bar	A	0.0000967	Margaux	9.66666666666667E-05
bar_1	bar	B	0.000042	Margaux	4.19607843137255E-05
bar_1	bar	C	0.0000878	Margaux	8.76470588235294E-05
bar_2	bar	A	0.0000411	Margaux	4.10869565217391E-05
bar_2	bar	B	0.0000532	Margaux	5.32173913043478E-05
bar_2	bar	C	0.0000195	Margaux	1.94347826086957E-05
bar_2	bar	D	0.0000488	Margaux	4.86521739130435E-05
bar_3	bar	A	0.0000235	Margaux	2.34782608695652E-05
bar_3	bar	B	0.0000327	Margaux	3.26902173913043E-05
bar_3	bar	C	0.0000402	Margaux	4.01902173913043E-05
bar_3	bar	D	0.0000164	Margaux	1.63858695652174E-05
bar_3	bar	E	0.0000237	Margaux	2.36413043478261E-05
bar_3	bar	F	0.0000404	Margaux	4.03532608695652E-05
bar_4	bar	A	0.00000697	Margaux	6.96652719665272E-06
bar_4	bar	B	0.0000145	Margaux	1.44351464435146E-05
bar_4	bar	C	0.0000163	Margaux	1.63179916317992E-05
bar_4	bar	D	0.0000235	Margaux	2.35355648535565E-05
bar_5	bar	A	0.00000842	Margaux	8.42105263157895E-06
bar_5	bar	B	0.00000813	Margaux	8.13067150635209E-06
bar_5	bar	C	0.00000208	Margaux	2.06896551724138E-06
bar_5	bar	D	0.0000051	Margaux	5.08166969147005E-06
